# hostname;interval;timestamp;io_tps
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;11.86
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;13.56
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;11.1
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;10.5
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;13.68
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;14.6
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;11.71
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;22.02
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;17.12
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;13.25
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;15.21
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;10.24
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;7.0
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;10.92
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;51.15
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;57.87
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;59.61
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;18.09
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;20.25
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;21.42
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;12.18
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;34.23
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;10.64
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;11.42
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;11.53
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;11.55
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;11.63
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;14.21
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;18.54
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;15.72
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;20.46
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;12.63
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;11.48
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;9.17
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;13.95
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;17.69
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;54.56
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;21.12
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;14.17
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;25.41
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;14.23
