# hostname;interval;timestamp;cpu;total;dropd;squeezd;rx_rps;flw_lim;blg_len
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;all;27.72;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;0;2.18;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;1;0.77;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;2;2.26;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;3;5.51;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;4;2.0;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;5;7.21;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;6;1.63;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;7;0.3;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;8;1.71;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;9;1.47;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;10;0.98;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;11;1.68;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;all;20.41;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;0;1.16;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;1;0.68;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;2;1.48;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;3;5.66;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;4;0.75;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;5;1.94;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;6;0.95;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;7;1.09;0.0;0.0;0.0;0.0;0
