# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;0;1637;0.59;0.44;0.34;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;0;1596;0.33;0.35;0.35;0
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;0;1602;0.26;0.23;0.27;0
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;1;1653;0.16;0.19;0.23;0
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;0;1670;0.57;0.45;0.35;0
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;0;1631;0.03;0.14;0.23;0
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;0;1642;0.56;0.32;0.24;0
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;3;1714;2.14;1.56;0.91;0
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;0;1779;2.23;1.89;1.36;0
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;0;1734;0.31;0.68;0.97;0
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;4;1700;0.31;0.41;0.69;0
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;0;1694;0.0;0.11;0.4;0
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;0;1676;0.04;0.06;0.22;0
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;0;1651;0.24;0.18;0.19;0
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;1;1830;0.25;0.31;0.24;0
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;0;1747;0.4;0.32;0.27;0
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;1;1750;1.09;0.57;0.37;0
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;0;1752;0.34;0.31;0.33;0
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;0;1639;0.35;0.29;0.29;0
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;1;1558;0.46;0.54;0.44;0
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;0;1550;0.36;0.43;0.42;0
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;0;1541;0.31;0.42;0.42;0
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;0;1524;0.33;0.42;0.44;0
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;0;1589;0.57;0.34;0.36;0
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;1;1600;0.47;0.34;0.32;0
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;0;1552;1.66;1.07;0.62;0
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;0;1515;0.43;0.52;0.52;0
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;0;1538;0.43;0.49;0.51;0
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;0;1530;0.43;0.48;0.5;0
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;1;1580;0.28;0.25;0.36;0
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;0;1650;0.23;0.53;0.48;0
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;0;1671;0.64;0.54;0.49;0
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;0;1685;0.06;0.2;0.33;0
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;1;1654;0.43;0.23;0.26;0
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;0;1662;0.98;0.44;0.34;0
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;1;1199;0.11;0.23;0.19;0
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;0;1231;1.36;0.65;0.38;0
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;0;1273;0.21;0.49;0.44;0
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;0;1194;0.05;0.14;0.27;0
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;0;1256;2.6;1.6;0.86;0
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;0;1173;0.37;0.75;0.81;0
