# hostname;interval;timestamp;cpu;usr;nice;sys;iowait;steal;irq;soft;guest;gnice;idle
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;all;0.79;0.0;0.3;0.02;0.0;0.03;0.02;0.0;0.0;98.84
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;0;0.63;0.0;0.28;0.02;0.0;0.04;0.06;0.0;0.0;98.98
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;1;0.66;0.0;0.28;0.01;0.0;0.03;0.02;0.0;0.0;99.0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;2;0.89;0.0;0.22;0.01;0.0;0.03;0.02;0.0;0.0;98.82
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;3;0.89;0.0;0.28;0.02;0.0;0.03;0.02;0.0;0.0;98.77
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;4;0.94;0.0;0.59;0.02;0.0;0.08;0.02;0.0;0.0;98.36
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;5;0.65;0.0;0.3;0.02;0.0;0.03;0.02;0.0;0.0;98.98
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;6;0.79;0.0;0.3;0.02;0.0;0.03;0.02;0.0;0.0;98.83
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;7;0.8;0.0;0.32;0.03;0.0;0.03;0.02;0.0;0.0;98.81
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;8;0.72;0.0;0.24;0.01;0.0;0.03;0.02;0.0;0.0;98.99
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;9;0.83;0.0;0.22;0.02;0.0;0.03;0.02;0.0;0.0;98.89
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;10;0.7;0.0;0.26;0.03;0.0;0.04;0.03;0.0;0.0;98.95
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;11;0.94;0.0;0.26;0.02;0.0;0.03;0.02;0.0;0.0;98.73
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;all;0.61;0.0;0.28;0.01;0.0;0.03;0.02;0.0;0.0;99.05
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;0;0.53;0.0;0.36;0.0;0.0;0.03;0.05;0.0;0.0;99.02
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;1;0.68;0.0;0.3;0.02;0.0;0.03;0.02;0.0;0.0;98.95
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;2;0.57;0.0;0.29;0.0;0.0;0.02;0.02;0.0;0.0;99.1
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;3;0.55;0.0;0.23;0.01;0.0;0.03;0.02;0.0;0.0;99.16
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;4;0.64;0.0;0.52;0.02;0.0;0.08;0.02;0.0;0.0;98.72
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;5;0.42;0.0;0.19;0.01;0.0;0.02;0.02;0.0;0.0;99.34
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;6;0.44;0.0;0.18;0.02;0.0;0.02;0.02;0.0;0.0;99.33
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;7;0.69;0.0;0.3;0.01;0.0;0.03;0.02;0.0;0.0;98.95
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;8;0.54;0.0;0.24;0.01;0.0;0.03;0.02;0.0;0.0;99.15
