# hostname;interval;timestamp;disk-device;tps;rd_sec;wr_sec;dc_sec;rkB;wkB;dkB;avgrq-sz;areq-sz;avgqu-sz;aqu-sz;await;util-percent
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;nvme0n1;15.7;0.0;798.86;0.0;0.0;399.43;0.0;50.9;25.45;0.02;0.02;1.2;0.78
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;dm-0;3.24;0.0;319.85;0.0;0.0;159.93;0.0;98.62;49.31;0.0;0.0;1.15;0.14
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;dm-1;12.31;0.0;478.97;0.0;0.0;239.48;0.0;38.91;19.45;0.02;0.02;1.26;0.64
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;nvme0n1;11.52;0.0;783.1;0.0;0.0;391.55;0.0;67.96;33.98;0.02;0.02;1.25;0.54
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;dm-0;3.38;0.0;314.71;0.0;0.0;157.35;0.0;92.98;46.49;0.0;0.0;0.98;0.15
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;dm-1;7.73;0.0;468.39;0.0;0.0;234.2;0.0;60.57;30.28;0.01;0.01;1.41;0.4
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;nvme0n1;7.42;0.0;438.69;0.0;0.0;219.34;0.0;59.1;29.55;0.01;0.01;0.99;0.48
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;dm-0;1.14;0.0;146.27;0.0;0.0;73.13;0.0;127.87;63.94;0.0;0.0;1.54;0.13
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;dm-1;6.03;0.0;292.42;0.0;0.0;146.21;0.0;48.52;24.26;0.01;0.01;0.89;0.35
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;nvme0n1;8.38;0.0;536.89;0.0;0.0;268.44;0.0;64.03;32.02;0.01;0.01;0.88;0.5
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;dm-0;1.1;0.0;146.38;0.0;0.0;73.19;0.0;133.41;66.7;0.0;0.0;1.35;0.11
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;dm-1;6.97;0.0;390.51;0.0;0.0;195.25;0.0;56.03;28.02;0.01;0.01;0.81;0.39
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;nvme0n1;10.63;0.03;711.33;0.0;0.01;355.67;0.0;66.9;33.45;0.02;0.02;1.42;0.6
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;dm-0;2.16;0.0;208.91;0.0;0.0;104.45;0.0;96.55;48.27;0.0;0.0;1.2;0.15
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;dm-1;8.08;0.03;502.42;0.0;0.01;251.21;0.0;62.15;31.08;0.01;0.01;1.53;0.45
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;nvme0n1;22.53;1.5;1190.45;0.0;0.75;595.22;0.0;52.9;26.45;0.03;0.03;0.92;0.98
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;dm-0;4.16;0.0;383.56;0.0;0.0;191.78;0.0;92.24;46.12;0.01;0.01;1.3;0.16
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;dm-1;19.19;1.5;806.89;0.0;0.75;403.44;0.0;42.14;21.07;0.02;0.02;0.86;0.82
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;nvme0n1;18.53;0.69;967.7;0.0;0.35;483.85;0.0;52.27;26.13;0.03;0.03;1.5;0.89
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;dm-0;4.39;0.67;380.73;0.0;0.33;190.36;0.0;86.9;43.45;0.01;0.01;1.54;0.17
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;dm-1;14.09;0.03;586.97;0.0;0.01;293.48;0.0;41.66;20.83;0.02;0.02;1.62;0.73
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;nvme0n1;10.01;73.03;652.22;0.0;36.52;326.11;0.0;72.47;36.23;0.01;0.01;1.03;0.52
