# hostname;interval;timestamp;rtps;bread
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;0.0;0.0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;0.0;0.03
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;0.02;1.5
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;0.01;0.69
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;0.41;73.03
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;0.05;4.18
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;0.01;0.2
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;7.83;421.81
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;0.66;19.81
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;0.29;3.71
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;0.83;29.42
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;2.54;307.73
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;0.22;8.88
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;0.21;3.26
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;0.02;0.13
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;0.06;4.08
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;0.04;0.51
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;3.47;144.57
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;1.23;18.42
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;0.05;6.7
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;2.56;269.41
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;0.01;0.84
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;0.0;0.85
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;0.48;52.73
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;0.05;1.53
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;0.01;0.19
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;0.01;0.15
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;0.12;2.66
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;0.03;4.26
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;0.59;11.84
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;0.01;0.15
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;0.67;13.54
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;0.0;0.0
