# hostname;interval;timestamp;wtps;bwrtn
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;15.7;798.86
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;11.52;783.1
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;7.42;438.69
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;8.38;536.89
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;10.63;711.33
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;22.51;1190.45
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;18.52;967.7
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;9.6;652.22
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;14.7;925.77
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;19.07;1875.58
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;14.23;1014.32
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;17.76;1174.45
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;26.76;894.6
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;11.81;655.71
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;13.7;780.23
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;13.68;662.84
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;11.74;513.48
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;10.23;571.46
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;8.86;440.9
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;6.57;365.87
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;7.07;477.43
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;8.16;424.48
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;8.08;438.08
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;8.06;509.08
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;6.77;388.2
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;7.74;431.06
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;8.35;503.71
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;7.73;380.47
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;7.84;440.4
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;7.8;495.32
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;9.36;466.9
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;9.94;491.03
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;7.55;492.99
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;6.99;359.74
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;6.92;379.7
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;7.68;566.16
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;38.12;9232.15
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;6.24;357.36
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;11.1;8825.48
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;3.65;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;6.08;343.52
