# hostname;interval;timestamp;dentunusd;file-nr;inode-nr;pty-nr
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;1167172;15840;821157;8
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;1167350;15840;821198;8
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;1167446;15808;821243;8
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;1167540;15776;821280;8
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;1168140;16032;821920;8
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;1172590;16000;820648;8
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;1173657;16160;821344;8
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;1174136;16384;821503;8
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;1174640;16448;821728;8
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;1175172;16352;822011;9
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;1175487;16288;822092;10
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;1176183;16480;822578;10
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;107282;12800;98179;4
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;108676;12576;98252;4
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;113581;12864;96424;6
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;114369;12896;96826;6
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;116505;13056;98321;6
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;116482;12928;98023;6
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;116618;12800;97798;6
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;116760;12736;97886;6
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;116947;12800;97988;6
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;117064;12800;98075;6
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;119284;12800;98099;6
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;120575;12736;98114;6
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;120921;12736;98310;6
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;122553;12800;99260;6
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;122663;12864;99335;6
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;122737;12800;99364;6
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;122885;12864;99485;6
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;122926;12832;99454;6
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;124007;13760;100252;6
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;124199;12896;100083;6
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;123949;12928;99808;6
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;124098;12928;99914;6
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;124306;12864;99999;6
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;123476;12160;98629;6
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;125870;12224;99242;6
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;125882;12064;99169;6
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;126235;12064;99494;6
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;125956;11936;98893;6
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;126043;11936;98950;6
