# hostname;interval;timestamp;memfree;avail;memused;memused-percent;buffers;cached;commit;commit-percent;active;inactive;dirty;anonpg;slab;kstack;pgtbl;vmused;swpfree;swpused;swpused-percent;swpcad;swpcad-percent
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;3954628;21953956;8116828;24.89;4192;18737200;35593436;86.83;9335952;15322840;2656;6449816;1792520;28144;97484;108076;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;4060908;22062248;8010604;24.57;4192;18737036;35537100;86.69;9219252;15323956;3028;6334408;1792628;28128;97316;108012;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;3974288;21976248;8102828;24.85;4192;18731508;35537452;86.69;9249752;15324576;3364;6371084;1792552;28032;97332;107884;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;4007640;22009160;8069972;24.75;4192;18731068;35569288;86.77;9287636;15324136;2272;6408932;1792496;28048;97404;107916;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;3870380;21875016;8049504;24.69;4192;18888536;37826472;92.27;9249536;15327116;10792;6333916;1792756;28784;100256;108732;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;3742544;21731660;8163916;25.04;4192;18900624;38321592;93.48;9393752;15310380;13288;6480864;1794092;29280;101480;109228;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;3612892;21612184;8306420;25.48;4192;18886680;41396752;100.98;9564892;15319748;8400;6628948;1795184;30432;105024;110420;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;3559312;21581400;8337452;25.57;4192;18909240;41544652;101.34;9591612;15328352;25304;6646108;1795172;30480;105516;110420;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;3478792;21501892;8384408;25.71;4192;18942392;41858372;102.11;9644876;15328996;4860;6697648;1795584;30784;106500;110752;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;3099736;21420092;8449388;25.91;4192;19255140;42371040;103.36;9711564;15624612;3744;6759296;1796912;30720;106472;110740;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;3469204;21501204;8399836;25.76;4192;18934932;42326620;103.25;9685252;15335844;2592;6734040;1797204;30704;106448;110748;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;3421272;21445944;8425796;25.84;4192;18955360;45775000;111.66;9682000;15328100;10688;6724992;1798748;31456;110652;111588;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;24793004;26768020;4544656;13.94;4000;2913216;41618984;101.52;5360012;1153636;3892;3896328;350496;27840;82692;100696;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;25006428;27017768;4352504;13.35;4000;2888008;38508216;93.94;5137284;1188272;2224;3717008;354432;26624;78392;102496;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;24821856;26836960;4399100;13.49;4000;3022792;38758920;94.55;5192656;1190888;4212;3774008;357624;26912;79596;102820;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;24875500;26905000;4449616;13.65;4000;2917728;39450880;96.24;5260776;1199872;3212;3825536;358528;27040;80364;103064;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;24485740;26612948;4700360;14.42;4000;3052316;42942712;104.75;5508608;1284976;5300;4042800;362956;28576;85244;104576;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;24623912;26756332;4554580;13.97;4000;3059824;40001212;97.58;5366444;1287972;2964;3907056;363056;27232;81580;103144;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;24777556;26911536;4459536;13.68;4000;3002880;37964524;92.61;5250620;1289316;2892;3817840;361400;26560;78436;102456;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;24759776;26894888;4479684;13.74;4000;3000472;37967220;92.62;5262380;1290424;880;3833308;361440;26592;78568;102536;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;24788400;26925388;4452172;13.65;4000;2999264;37971264;92.63;5259812;1291208;3192;3822064;361536;26640;78472;102584;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;24753948;26896384;4423128;13.57;4000;3062632;38120492;92.99;5231808;1296536;2020;3781164;361664;26784;78880;102712;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;24838652;27025588;4377680;13.43;4000;3022340;38048000;92.81;5183924;1340572;1944;3747940;362700;26672;78920;102632;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;24778868;26972652;4421516;13.56;4000;3037592;38066720;92.86;5206332;1347176;2640;3774440;363396;26624;79084;102520;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;24795140;26991652;4398040;13.49;4000;3043732;38090036;92.92;5199788;1347824;2932;3761996;364460;26704;79048;102568;8388604;0;0.0;0;0.0
