# hostname;interval;timestamp;totsck;tcpsck;udpsck;rawsck;ip-frag;tcp-tw
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;1469;24;31;0;0;2
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;1461;25;22;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;1461;23;24;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;1461;22;24;0;0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;1506;32;44;0;0;0
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;1503;38;25;0;0;3
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;1532;41;25;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;1542;31;28;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;1565;41;29;0;0;2
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;1551;30;34;0;0;1
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;1549;34;31;0;0;1
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;1559;36;23;0;0;2
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;1283;43;26;0;0;2
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;1246;27;16;0;0;2
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;1273;30;20;0;0;1
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;1272;29;17;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;1311;34;17;0;0;16
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;1276;27;18;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;1255;27;16;0;0;1
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;1256;26;17;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;1260;27;18;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;1260;27;18;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;1260;27;16;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;1264;31;16;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;1265;27;17;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;1266;26;18;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;1266;26;19;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;1266;26;19;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;1264;27;18;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;1267;27;18;0;0;0
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;1285;30;21;0;0;1
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;1277;30;21;0;0;3
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;1274;27;20;0;0;2
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;1274;26;19;0;0;2
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;1273;25;21;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;1125;28;18;0;0;3
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;1138;31;18;0;0;2
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;1120;25;19;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;1115;27;21;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;1096;27;19;0;0;0
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;1094;25;17;0;0;0
