# hostname;interval;timestamp;cpu;total;dropd;squeezd;rx_rps;flw_lim;blg_len
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;all;28.65;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;0;10.71;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;1;0.48;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;2;1.62;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;3;8.6;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;4;0.09;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;5;1.83;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;6;1.32;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;7;0.79;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;8;1.19;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;9;0.62;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;10;0.53;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;11;0.87;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;all;13.76;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;0;4.21;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;1;0.82;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;2;0.21;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;3;1.0;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;4;0.02;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;5;1.43;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;6;0.18;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;7;1.03;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;8;1.26;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;9;0.68;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;10;1.14;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;11;1.77;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;all;9.54;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;0;3.61;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;1;0.58;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;2;0.65;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;3;0.19;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;4;0.31;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;5;1.97;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;6;0.71;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;7;0.2;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;8;0.44;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;9;0.5;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;10;0.17;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;11;0.2;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;all;8.91;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;0;3.38;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;1;0.63;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;2;0.83;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;3;0.32;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;4;0.07;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;5;1.96;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;6;0.16;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;7;0.33;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;8;0.48;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;9;0.53;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;10;0.02;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;11;0.2;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;all;12.03;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;0;3.95;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;1;1.02;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;2;0.32;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;3;0.64;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;4;0.01;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;5;1.58;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;6;0.7;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;7;1.35;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;8;0.52;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;9;0.4;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;10;0.72;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;11;0.81;0.0;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;all;22.02;0.0;0.0;0.0;0.0;0
