# hostname;interval;timestamp;proc;cswch
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;0.65;2456.52
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;0.66;2415.32
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;0.14;2120.18
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;0.14;2114.43
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;0.63;2981.88
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;1.38;5058.72
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;1.45;4127.99
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;0.54;3836.34
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;1.0;3541.75
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;1.51;4411.42
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;1.43;3692.91
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;1.63;3416.56
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;2.76;3262.03
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;0.81;1670.84
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;1.77;1681.01
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;1.59;1790.71
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;1.03;2223.82
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;0.6;3054.91
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;0.48;1662.0
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;0.16;1173.25
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;0.27;1100.81
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;0.23;1661.67
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;0.32;1489.09
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;0.19;1192.15
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;0.35;1212.29
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;0.31;1126.84
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;0.2;1038.81
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;0.15;957.96
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;0.29;1213.48
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;0.15;1065.78
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;0.71;2707.6
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;0.85;2780.99
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;0.37;1089.91
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;0.37;1114.96
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;0.42;1200.28
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;0.37;1163.52
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;0.92;3483.05
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;0.24;1003.73
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;0.45;1215.31
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;0.34;1030.62
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;0.19;986.07
