# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;0;1749;0.02;0.05;0.01;0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;0;1748;0.11;0.12;0.04;0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;0;1742;0.12;0.08;0.03;0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;0;1743;0.27;0.13;0.06;0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;1;1788;1.28;0.64;0.27;0
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;0;1820;0.33;0.5;0.39;0
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;0;1892;0.54;0.43;0.39;0
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;0;1894;0.11;0.34;0.4;0
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;0;1914;0.03;0.17;0.28;0
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;0;1910;0.11;0.2;0.25;0
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;0;1909;0.11;0.15;0.21;0
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;0;1956;0.34;0.4;0.28;0
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;0;1730;0.28;0.31;0.32;0
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;0;1654;0.0;0.28;0.37;0
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;0;1672;1.5;0.42;0.34;0
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;0;1680;0.06;0.13;0.21;0
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;0;1776;0.34;0.15;0.15;0
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;0;1692;0.16;0.3;0.25;0
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;0;1650;0.06;0.21;0.24;0
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;0;1652;0.0;0.03;0.12;0
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;0;1655;0.25;0.1;0.09;0
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;0;1664;0.21;0.15;0.1;0
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;0;1657;0.08;0.07;0.08;0
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;0;1654;0.02;0.04;0.06;0
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;0;1659;0.0;0.02;0.03;0
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;0;1656;0.0;0.01;0.01;0
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;0;1658;0.03;0.09;0.05;0
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;0;1655;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;0;1656;0.01;0.03;0.0;0
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;0;1652;0.0;0.0;0.0;0
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;4;1705;5.59;1.86;0.65;1
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;0;1679;1.36;1.59;0.94;0
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;0;1672;0.05;0.27;0.52;0
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;0;1670;0.04;0.07;0.28;0
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;1;1673;0.03;0.08;0.18;0
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;0;1385;0.19;0.08;0.1;0
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;0;1409;0.2;0.25;0.16;0
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;0;1378;0.0;0.07;0.09;0
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;0;1365;1.3;0.39;0.19;0
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;0;1319;0.01;0.09;0.11;0
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;0;1318;0.02;0.03;0.06;0
