# hostname;interval;timestamp;cpu;usr;nice;sys;iowait;steal;irq;soft;guest;gnice;idle
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;all;2.35;0.0;0.57;0.02;0.0;0.11;0.06;0.0;0.0;96.88
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;0;2.68;0.0;0.6;0.03;0.0;0.1;0.09;0.0;0.0;96.5
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;1;3.11;0.0;0.64;0.02;0.0;0.09;0.04;0.0;0.0;96.1
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;2;2.44;0.0;0.66;0.01;0.0;0.1;0.05;0.0;0.0;96.74
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;3;2.52;0.0;0.51;0.02;0.0;0.09;0.06;0.0;0.0;96.8
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;4;2.1;0.0;0.47;0.01;0.0;0.07;0.04;0.0;0.0;97.31
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;5;1.99;0.0;0.62;0.02;0.0;0.09;0.08;0.0;0.0;97.21
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;6;2.03;0.0;0.52;0.02;0.0;0.08;0.04;0.0;0.0;97.3
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;7;1.51;0.0;0.52;0.01;0.0;0.33;0.09;0.0;0.0;97.53
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;8;2.07;0.0;0.61;0.02;0.0;0.1;0.05;0.0;0.0;97.16
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;9;3.05;0.0;0.58;0.02;0.0;0.1;0.04;0.0;0.0;96.21
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;10;2.4;0.0;0.58;0.02;0.0;0.14;0.12;0.0;0.0;96.74
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;11;2.33;0.0;0.57;0.02;0.0;0.09;0.04;0.0;0.0;96.95
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;all;2.01;0.0;0.41;0.01;0.0;0.08;0.05;0.0;0.0;97.44
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;0;2.6;0.0;0.43;0.01;0.0;0.07;0.06;0.0;0.0;96.82
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;1;1.99;0.0;0.47;0.01;0.0;0.07;0.04;0.0;0.0;97.43
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;2;2.42;0.0;0.42;0.01;0.0;0.07;0.04;0.0;0.0;97.05
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;3;2.08;0.0;0.48;0.02;0.0;0.07;0.05;0.0;0.0;97.3
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;4;2.21;0.0;0.38;0.03;0.0;0.07;0.03;0.0;0.0;97.28
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;5;2.22;0.0;0.4;0.01;0.0;0.07;0.04;0.0;0.0;97.27
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;6;1.75;0.0;0.37;0.02;0.0;0.06;0.03;0.0;0.0;97.77
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;7;1.27;0.0;0.33;0.01;0.0;0.23;0.07;0.0;0.0;98.09
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;8;1.65;0.0;0.38;0.01;0.0;0.06;0.04;0.0;0.0;97.87
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;9;1.66;0.0;0.37;0.01;0.0;0.06;0.04;0.0;0.0;97.86
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;10;2.33;0.0;0.39;0.01;0.0;0.1;0.11;0.0;0.0;97.06
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;11;1.98;0.0;0.45;0.02;0.0;0.07;0.04;0.0;0.0;97.45
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;all;1.68;0.0;0.39;0.01;0.0;0.07;0.04;0.0;0.0;97.81
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;0;2.09;0.0;0.39;0.03;0.0;0.06;0.06;0.0;0.0;97.38
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;1;2.22;0.0;0.55;0.02;0.0;0.06;0.04;0.0;0.0;97.12
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;2;1.8;0.0;0.44;0.01;0.0;0.05;0.04;0.0;0.0;97.66
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;3;2.17;0.0;0.5;0.02;0.0;0.06;0.04;0.0;0.0;97.21
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;4;1.5;0.0;0.37;0.01;0.0;0.05;0.03;0.0;0.0;98.04
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;5;1.65;0.0;0.38;0.01;0.0;0.05;0.03;0.0;0.0;97.88
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;6;1.46;0.0;0.36;0.01;0.0;0.06;0.03;0.0;0.0;98.09
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;7;1.03;0.0;0.3;0.01;0.0;0.15;0.06;0.0;0.0;98.46
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;8;1.42;0.0;0.35;0.01;0.0;0.05;0.03;0.0;0.0;98.15
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;9;1.63;0.0;0.36;0.01;0.0;0.05;0.03;0.0;0.0;97.92
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;10;1.44;0.0;0.33;0.01;0.0;0.09;0.09;0.0;0.0;98.03
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;11;1.78;0.0;0.36;0.01;0.0;0.05;0.03;0.0;0.0;97.76
