# hostname;interval;timestamp;disk-device;tps;rd_sec;wr_sec;dc_sec;rkB;wkB;dkB;avgrq-sz;areq-sz;avgqu-sz;aqu-sz;await;util-percent
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;nvme0n1;11.86;2.18;571.14;0.0;1.09;285.57;0.0;48.36;24.18;0.02;0.02;0.97;0.72
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;dm-0;1.08;0.69;186.9;0.0;0.35;93.45;0.0;174.14;87.07;0.0;0.0;1.38;0.11
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;dm-1;11.06;1.49;384.24;0.0;0.75;192.12;0.0;34.87;17.43;0.01;0.01;0.92;0.61
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;nvme1n1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;nvme0n1;13.56;1.44;776.77;0.0;0.72;388.39;0.0;57.37;28.69;0.02;0.02;0.92;0.72
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;dm-0;1.1;0.91;191.79;0.0;0.45;95.89;0.0;175.89;87.94;0.0;0.0;1.41;0.12
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;zram0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;dm-1;12.93;0.53;584.99;0.0;0.27;292.49;0.0;45.28;22.64;0.01;0.01;0.87;0.61
