# hostname;interval;timestamp;memfree;avail;memused;memused-percent;buffers;cached;commit;commit-percent;active;inactive;dirty;anonpg;slab;kstack;pgtbl;vmused;swpfree;swpused;swpused-percent;swpcad;swpcad-percent
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;24157576;26474816;4558640;13.98;4000;3414440;32104536;78.31;5682664;1126552;2608;3891720;471164;26352;79348;98948;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;24418532;26739248;4285196;13.14;4000;3426756;29069932;70.91;5414084;1129596;896;3630352;471336;25696;75736;98228;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;24344280;26665952;4356144;13.36;4000;3429720;29824952;72.75;5453792;1130224;2116;3684272;471676;25792;76824;98412;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;24156936;26480136;4490428;13.77;4000;3481612;31591024;77.06;5619776;1131504;948;3819752;472844;26608;79076;99292;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;24099404;26426048;4528588;13.89;4000;3500248;32305416;78.8;5648008;1134444;2072;3849852;473580;26880;79788;99380;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;24138380;26478984;4575940;14.03;4000;3411336;30880688;75.33;5681260;1145696;2100;3898708;476164;26256;78480;98900;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;23981904;26388600;4638996;14.23;4000;3504068;29758836;72.59;5780220;1166324;2188;3961276;476852;26432;77684;98908;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;23464748;25920528;4970764;15.25;4000;3682936;32952324;80.38;6120112;1202916;2196;4271516;483372;27584;82968;107320;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;23140016;25688940;5161444;15.83;4000;3812384;35603220;86.85;6357956;1291160;2340;4477208;487976;28624;86472;108464;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;23214964;25769944;5026836;15.42;4000;3872452;34473292;84.09;6234468;1297072;2608;4341916;487568;27904;84392;100632;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;23438436;26005812;4912268;15.07;4000;3762796;32746688;79.88;6104680;1308644;2156;4241964;488320;27264;82188;99824;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;23645164;26213768;4739360;14.54;4000;3729204;31913888;77.85;5929728;1309604;2808;4080896;488092;27264;80936;99792;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;23650592;26220116;4750720;14.57;4000;3712240;31756292;77.46;5909748;1310412;2092;4076372;488268;26976;80680;99520;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;23589900;26162608;4791420;14.69;4000;3731852;30357884;74.05;5941264;1313092;2416;4103808;488648;26576;79220;99232;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;20596044;25194096;5582620;17.12;4000;5845700;36999428;90.25;6809160;3260840;2324;4865732;577456;29448;90948;102072;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;20688384;25471208;5291332;16.23;4000;5956240;34901452;85.14;6330764;3366760;2564;4378540;665864;28112;85716;100808;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;19879568;25304696;5471364;16.78;4000;6555296;35540504;86.7;6522616;3979484;2236;4554468;695592;28160;87136;100608;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;19873476;25385848;5445384;16.7;4000;6585976;35516508;86.64;6463664;4065336;3312;4520792;696984;28192;86632;100688;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;19987144;25542212;5373552;16.48;4000;6540708;30139112;73.52;6335640;4103624;3268;4459608;700416;26384;79796;101860;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;20374684;26007324;4951900;15.19;4000;6563688;26493444;64.63;5895608;4172700;2532;4045132;711548;25040;74584;100452;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;20182500;25810068;5156160;15.81;4000;6551360;25911468;63.21;6049080;4167120;2136;4216068;711800;24976;74136;100412;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;20151104;25971140;4981472;15.28;4000;6750520;25879756;63.13;5924772;4352628;1840;4069456;718724;24816;73916;100236;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;20172828;25995596;4955264;15.2;4000;6754988;25052816;61.11;5888468;4354192;2224;4040696;718740;24544;72968;100036;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;19969896;25794744;5086736;15.6;4000;6825916;28157560;68.69;6007564;4355536;10680;4116304;719272;25584;76840;101028;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;19978324;25804772;5059720;15.52;4000;6844660;28238280;68.88;6034736;4356528;2848;4128632;719116;25760;76840;101156;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;20014708;25839756;5041180;15.46;4000;6826824;27165356;66.27;5983660;4354896;6036;4101356;719108;25008;75080;100300;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;20035440;25860772;5040124;15.46;4000;6807044;25122292;61.28;5963812;4354532;3164;4116368;719212;24400;72924;99732;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;20012628;25840552;5014988;15.38;4000;6854060;25316168;61.76;5963280;4355472;1864;4099228;720144;24768;73248;100164;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;20081648;25917652;4917180;15.08;4000;6882592;25422932;62.02;5873764;4362044;2884;4006924;720400;24640;73592;100084;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;18578412;24439000;6337532;19.44;4000;6962108;29430148;71.79;7067456;4384424;125956;5168384;723768;25456;79788;100716;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;19490836;25362252;5428996;16.65;4000;6956684;30559316;74.55;6429124;4394568;2608;4499908;725304;26560;80768;101956;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;19528784;25279204;5496580;16.86;4000;6850656;32651760;79.65;6436304;4271352;3100;4494216;725800;26896;83128;102268;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;19371556;25130808;5625940;17.25;4000;6878196;32846184;80.12;6634912;4279272;2996;4700996;726128;27120;83448;102412;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;19538672;25299180;5493264;16.85;4000;6843404;31406828;76.61;6515528;4280492;1244;4571244;726480;26624;81940;101996;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;19629044;25398992;5485944;16.83;4000;6758540;30772032;75.06;6452920;4286224;4388;4548264;728292;26752;81388;102812;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;26515568;28292360;3094984;9.49;4000;2712264;25036476;61.07;4196776;776968;2068;2573900;278572;19328;60052;91700;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;25956348;27869696;3438160;10.54;4000;2913496;26410520;64.43;4533400;888712;3056;2823528;293384;19872;62668;95072;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;25882192;27813620;3505064;10.75;4000;2914820;27571164;67.26;4609388;904588;2416;2900180;299312;20528;64336;95880;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;25993540;27985300;3390868;10.4;4000;2915656;24304160;59.29;4470248;927696;2628;2788624;301324;19472;60268;94584;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;25413956;27465796;3728796;11.44;4000;3152552;26434884;64.48;4844236;979480;4940;3088576;306084;20272;63668;102616;8388604;0;0.0;0;0.0
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;25601204;27666620;3484048;10.69;4000;3209592;23273476;56.77;4567136;991932;2672;2901160;306544;18928;58772;94200;8388604;0;0.0;0;0.0
