# hostname;interval;timestamp;iface;rxerr;txerr;coll;rxdrop;txdrop;txcarr;rxfram;rxfifo;txfifo
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;wlp0s20f3;0.0;0.0;0.0;0.04;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;tun0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
